# Inductor Current [mA],Lock-In Voltage [mV]
200,-33,-50
212,-65,-90
218,-120,-163
222,-220,-255
224,-320,-360
226,-450,-486
227,-495,-545
228,-588,-618
229,-657,-693
230,-758,-785
231,-892,-935
232,-1000,-1060
233,-1040,-1090
234,-1050,-1100
235,-1070,-1020
236,-970,-1010
237,-833,-890
238,-608,-631
239,-371,-394
240,-70,-115
241,128,114
242,298,338
243,684,710
244,892,927
245,980,1050
246,1020,1070
247,1010,1050
248,927,961
249,820,891
250,763,780
252,580,624
254,380,431
257,272,304
261,154,183
265,80,115
270,40,105
275,10,25
285,5,8
