# Dimension N, Time [s]
10,0.002676135
10,0.000741286
10,0.000591001
10,0.0006713
10,0.001983964
40,0.009198798
40,0.00873385
40,0.008401393
40,0.008494349
40,0.008884171
70,0.110728402
70,0.116250072
70,0.087622797
70,0.079567263
70,0.065878305
100,0.233800458
100,0.205036927
100,0.2077449
100,0.20704591
100,0.207076895
150,0.946966564
150,0.96259234
150,1.051775701
150,1.025837777
150,0.951255267
170,1.530038669
170,1.488543288
170,1.481208792
170,1.485752324
170,1.478301229
185,2.004327174
185,2.011282034
185,1.983536466
185,1.999849282
185,2.01964892
200,2.586891283
200,2.615200027
200,2.582413515
200,2.587841624
200,2.575857236
220,3.72877765
220,4.243500726
220,4.155977358
220,6.483010957
220,7.375170375
240,9.440676855
240,6.62979512
240,6.016192772
240,5.258857387
240,5.085342502
