# Dimension N, Time [s]
10,0.002891034
10,0.000621656
10,0.00048453
10,0.000296442
10,0.001667273
40,0.005691229
40,0.005079089
40,0.005299388
40,0.005091116
40,0.005107505
70,0.054233544
70,0.07939474
70,0.054696978
70,0.056386236
70,0.040072762
100,0.13781338
100,0.139642117
100,0.138812643
100,0.136441476
100,0.140494042
150,0.564213963
150,0.578973039
150,0.648708376
150,0.58266401
150,0.623423729
170,1.14287036
170,1.029495395
170,0.87744016
170,0.866109028
170,0.886572651
185,1.199118391
185,1.215702502
185,1.230504483
185,1.198252109
185,1.195635772
200,1.550191428
200,1.528415069
200,1.529226759
200,1.519701302
200,1.533903456
220,2.338009518
220,2.149223692
220,2.516963024
220,2.872177274
220,2.529204681
240,3.950904331
240,4.362675678
240,3.486182104
240,3.172765615
240,3.184655806
