# Dimension N, Time [s]
10,0.000586775
10,0.000310719
10,0.0001391
10,0.000105267
10,0.000671088
40,0.00035666
40,0.000230508
40,0.000210372
40,0.000212488
40,0.000207088
70,0.003022883
70,0.000777495
70,0.000768811
70,0.000516555
70,0.000606099
100,0.001145195
100,0.001070096
100,0.000962216
100,0.000984119
100,0.000950445
150,0.006829433
150,0.002084556
150,0.002204696
150,0.002286462
150,0.005909567
170,0.007812944
170,0.003129531
170,0.002849239
170,0.002857472
170,0.003315584
185,0.004686288
185,0.003225164
185,0.003529782
185,0.003541223
185,0.003611989
200,0.005368811
200,0.004070087
200,0.003729109
200,0.003697377
200,0.003723813
220,0.011388123
220,0.005068809
220,0.005763474
220,0.004778499
220,0.012224062
240,0.007540798
240,0.005971826
240,0.006240646
240,0.006004363
240,0.008515615
