# Dimension N, Time [s]
10,0.005154326
10,0.001884616
10,0.003038393
10,0.001624737
10,0.002901107
10,0.004858085
10,0.004494104
10,0.004193376
10,0.004174208
10,0.006176461
15,0.007364732
15,0.006888014
15,0.006898399
15,0.013225949
15,0.010391033
15,0.038714494
15,0.015079318
15,0.01236435
15,0.013362323
15,0.010040323
20,0.031309854
20,0.021871475
20,0.02628104
20,0.025921955
20,0.021792866
20,0.032403102
20,0.034532833
20,0.021597228
20,0.021813402
20,0.023120639
25,0.051551946
25,0.048546545
25,0.054960866
25,0.049206887
25,0.049231433
25,0.055151932
25,0.049462719
25,0.049205067
25,0.05528461
25,0.056757019
26,0.060629783
26,0.059088764
26,0.064550617
26,0.058869837
26,0.067751055
27,0.074801666
27,0.079516178
27,0.088190549
27,0.090172762
27,0.079794801
30,0.103616093
30,0.109237627
30,0.109640546
30,0.112563775
30,0.111787347
30,0.103638667
30,0.107846596
30,0.111272779
30,0.103318188
30,0.108724937
40,0.723223875
40,0.41419143
40,0.478027101
40,0.498042191
40,0.40457681
50,1.003198966
50,1.047194786
50,1.039843304
50,1.169063958
50,1.030228701
60,2.24916923
60,2.277190503
60,2.90310792
60,2.431239605
60,2.256274604
70,5.001661432
70,5.176420024
70,5.093433974
70,5.05790575
70,5.062704491
