# lower level,counts
0.0,290
0.2,189
0.4,171
0.6,155
0.8,173
1.0,126
1.2,132
1.4,117
1.6,116
1.8,48
2.0,21
2.2,47
2.4,545
2.6,301
2.8,5
3.0,2
3.2,5
3.4,2
3.6,5
3.8,1
4.0,1
