# lower level,counts
0,200
0.2,223
0.4,213
0.6,219
0.8,233
1.0,222
1.2,204
1.4,201
1.6,184
1.8,188
2.0,204
2.2,193
2.4,195
2.6,183
2.8,192
3.0,215
3.2,244
3.4,235
3.6,211
3.8,170
4.0,151
4.2,310
4.4,495
4.6,162
4.8,290
5.0,390
5.2,122
5.4,33
5.6,29
5.8,24
6.0,17
6.3,14
6.6,20
6.9,20
7.2,14
7.5,8
7.8,15
8.1,14
8.4,10
8.7,6
9.0,3
