# M=N,Vectorized Time [s],Python Loop Time [s]
1,1.04362535e+00,5.99598885e-01
2,1.04560208e+00,1.52325797e+00
3,1.13626814e+00,2.81403613e+00
4,1.16072083e+00,4.25671411e+00
5,1.12919593e+00,6.11760306e+00
6,1.17959690e+00,7.94447589e+00
7,1.24700022e+00,1.11455500e+01
8,1.26600909e+00,1.36280591e+01
9,1.27461290e+00,1.68639481e+01
10,1.41285300e+00,2.05923400e+01
12,1.65289378e+00,3.17158189e+01
14,2.08421826e+00,3.98596759e+01
16,1.79752398e+00,5.44564199e+01
