# Sum Basic, Sum Padded, FFT Basic, FFT Padded
0.000000000000000000e+00,0.000000000000000000e+00,3.154993057250976562e-03,5.682110786437988281e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.906011581420898438e-03,6.072902679443359375e-02
0.000000000000000000e+00,0.000000000000000000e+00,4.078149795532226562e-03,5.689907073974609375e-02
0.000000000000000000e+00,0.000000000000000000e+00,4.364013671875000000e-03,6.322288513183593750e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.673076629638671875e-03,5.326986312866210938e-02
