# Sum Basic, Sum Padded, FFT Basic, FFT Padded
0.000000000000000000e+00,0.000000000000000000e+00,1.987195014953613281e-02,1.426608562469482422e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.081204414367675781e-02,2.105550765991210938e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.237177848815917969e-02,1.611151695251464844e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.894920349121093750e-03,1.373951435089111328e-01
0.000000000000000000e+00,0.000000000000000000e+00,8.537054061889648438e-03,1.274900436401367188e-01
