# Sum Basic, Sum Padded, FFT Basic, FFT Padded
6.890296936035156250e-05,5.388259887695312500e-05,1.022815704345703125e-04,6.222724914550781250e-05
5.793571472167968750e-05,5.292892456054687500e-05,3.409385681152343750e-05,4.410743713378906250e-05
5.698204040527343750e-05,5.197525024414062500e-05,3.218650817871093750e-05,4.291534423828125000e-05
5.602836608886718750e-05,5.197525024414062500e-05,3.194808959960937500e-05,4.315376281738281250e-05
8.487701416015625000e-05,8.130073547363281250e-05,4.577636718750000000e-05,4.291534423828125000e-05
