# Sum Basic, Sum Padded, FFT Basic, FFT Padded
0.000000000000000000e+00,0.000000000000000000e+00,8.744001388549804688e-03,8.038306236267089844e-02
0.000000000000000000e+00,0.000000000000000000e+00,2.569198608398437500e-03,6.720328330993652344e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.907058715820312500e-03,5.601429939270019531e-02
0.000000000000000000e+00,0.000000000000000000e+00,2.761840820312500000e-03,5.191302299499511719e-02
0.000000000000000000e+00,0.000000000000000000e+00,6.310939788818359375e-03,4.772305488586425781e-02
