# Sum Basic, Sum Padded, FFT Basic, FFT Padded
4.260420799255371094e-01,3.475141525268554688e-01,1.900196075439453125e-04,1.303195953369140625e-03
3.744928836822509766e-01,3.289558887481689453e-01,1.420974731445312500e-04,1.020908355712890625e-03
3.525080680847167969e-01,3.213012218475341797e-01,1.420974731445312500e-04,8.878707885742187500e-04
3.412699699401855469e-01,3.115799427032470703e-01,1.459121704101562500e-04,8.721351623535156250e-04
3.336389064788818359e-01,3.097918033599853516e-01,1.478195190429687500e-04,8.788108825683593750e-04
