# Sum Basic, Sum Padded, FFT Basic, FFT Padded
0.000000000000000000e+00,0.000000000000000000e+00,7.697105407714843750e-03,2.503418922424316406e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.062582969665527344e-02,1.601448059082031250e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.230382919311523438e-02,1.239299774169921875e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.113390922546386719e-02,1.286489963531494141e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.619857788085937500e-03,1.242668628692626953e-01
