# Sum Basic, Sum Padded, FFT Basic, FFT Padded
2.415290999412536621e+01,2.848101830482482910e+01,1.339197158813476562e-03,2.177000045776367188e-02
3.172221493721008301e+01,2.489618086814880371e+01,1.030921936035156250e-03,6.617784500122070312e-03
3.018558621406555176e+01,2.859651613235473633e+01,6.048679351806640625e-04,9.444952011108398438e-03
3.024801373481750488e+01,3.850414800643920898e+01,5.519390106201171875e-04,7.545709609985351562e-03
2.814976692199707031e+01,2.167976498603820801e+01,5.378723144531250000e-04,6.675958633422851562e-03
