# Sum Basic, Sum Padded, FFT Basic, FFT Padded
0.000000000000000000e+00,0.000000000000000000e+00,1.363148689270019531e-01,1.149079084396362305e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.866791248321533203e-01,1.025309085845947266e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.244101524353027344e-01,1.055245161056518555e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.401059627532958984e-01,1.035738945007324219e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.277041435241699219e-01,1.116092920303344727e+00
