# Sum Basic, Sum Padded, FFT Basic, FFT Padded
8.540153503417968750e-04,6.830692291259765625e-04,7.200241088867187500e-05,9.584426879882812500e-05
6.599426269531250000e-04,6.451606750488281250e-04,3.695487976074218750e-05,7.200241088867187500e-05
6.549358367919921875e-04,6.411075592041015625e-04,3.504753112792968750e-05,7.200241088867187500e-05
6.589889526367187500e-04,6.411075592041015625e-04,3.504753112792968750e-05,7.176399230957031250e-05
8.130073547363281250e-04,9.698867797851562500e-04,6.914138793945312500e-05,1.096725463867187500e-04
