# Sum Basic, Sum Padded, FFT Basic, FFT Padded
3.319978713989257812e-03,3.120899200439453125e-03,6.508827209472656250e-05,1.258850097656250000e-04
3.509998321533203125e-03,3.173112869262695312e-03,5.197525024414062500e-05,1.218318939208984375e-04
3.312826156616210938e-03,3.168821334838867188e-03,4.482269287109375000e-05,1.189708709716796875e-04
3.218173980712890625e-03,3.242969512939453125e-03,4.482269287109375000e-05,1.211166381835937500e-04
3.379106521606445312e-03,4.414081573486328125e-03,7.224082946777343750e-05,1.528263092041015625e-04
