# Sum Basic, Sum Padded, FFT Basic, FFT Padded
0.000000000000000000e+00,0.000000000000000000e+00,6.471562385559082031e-02,5.747668743133544922e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.574010848999023438e-02,5.464329719543457031e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.377411842346191406e-02,4.504568576812744141e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.961085319519042969e-02,4.337589740753173828e-01
0.000000000000000000e+00,0.000000000000000000e+00,5.485296249389648438e-02,3.895039558410644531e-01
