# Sum Basic, Sum Padded, FFT Basic, FFT Padded
2.167828083038330078e-01,2.072310447692871094e-01,1.521110534667968750e-04,7.188320159912109375e-04
2.090942859649658203e-01,2.017970085144042969e-01,1.368522644042968750e-04,7.019042968750000000e-04
2.077896595001220703e-01,1.965279579162597656e-01,1.380443572998046875e-04,7.030963897705078125e-04
2.050809860229492188e-01,1.882591247558593750e-01,1.587867736816406250e-04,9.107589721679687500e-04
2.132048606872558594e-01,1.866068840026855469e-01,1.490116119384765625e-04,7.069110870361328125e-04
