# Energy Eigenvalues:,3.430479,13.540898,29.585924,48.373712
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.253753753753753752e+00,2.287673473124251036e-04,1.034338084875687522e-03,7.307330106840804335e-03,1.553914241074578206e-01
-1.250750750750750706e+00,2.356030063051687900e-04,1.061966696291016723e-03,7.460999324527001035e-03,1.573903339472625396e-01
-1.247747747747747660e+00,2.426365554259002453e-04,1.090293633990165696e-03,7.617415602897618758e-03,1.593938603326833792e-01
-1.244744744744744835e+00,2.498739023663664274e-04,1.119337525153448051e-03,7.776636532764587620e-03,1.614020620308045662e-01
-1.241741741741741789e+00,2.573211259943006301e-04,1.149117468414244088e-03,7.938720737582770706e-03,1.634149979458468793e-01
-1.238738738738738743e+00,2.649844814592431427e-04,1.179653046417826305e-03,8.103727895034331177e-03,1.654327271208920758e-01
-1.235735735735735696e+00,2.728704054464363340e-04,1.210964338698501024e-03,8.271718759001577687e-03,1.674553087396176421e-01
-1.232732732732732650e+00,2.809855215831920904e-04,1.243071934883476296e-03,8.442755181935882730e-03,1.694828021280326280e-01
-1.229729729729729826e+00,2.893366460022746322e-04,1.275996948232139237e-03,8.616900137631012743e-03,1.715152667562159228e-01
-1.226726726726726779e+00,2.979307930669815134e-04,1.309761029519697232e-03,8.794217744409520143e-03,1.735527622400631076e-01
-1.223723723723723733e+00,3.067751812627185016e-04,1.344386381274245614e-03,8.974773288730369600e-03,1.755953483430335305e-01
-1.220720720720720687e+00,3.158772392600263401e-04,1.379895772376679231e-03,9.158633249226754910e-03,1.776430849779043752e-01
-1.217717717717717640e+00,3.252446121541467412e-04,1.416312553033010528e-03,9.345865321182818264e-03,1.796960322085276729e-01
-1.214714714714714816e+00,3.348851678863665280e-04,1.453660670128944154e-03,9.536538441458236939e-03,1.817542502515900327e-01
-1.211711711711711770e+00,3.448070038525449452e-04,1.491964682976847090e-03,9.730722813870138627e-03,1.838177994783811997e-01
-1.208708708708708723e+00,3.550184537043634889e-04,1.531249779465426383e-03,9.928489935041461337e-03,1.858867404165655268e-01
-1.205705705705705677e+00,3.655280943490094004e-04,1.571541792622719062e-03,1.012991262072509766e-02,1.879611337519548342e-01
-1.202702702702702631e+00,3.763447531531805825e-04,1.612867217603333389e-03,1.033506503261391943e-02,1.900410403302888740e-01
-1.199699699699699806e+00,3.874775153574644437e-04,1.655253229111107883e-03,1.054402270564643550e-02,1.921265211590224009e-01
-1.196696696696696760e+00,3.989357317073049364e-04,1.698727699268597589e-03,1.075686257581789408e-02,1.942176374091131585e-01
