# Energy Eigenvalues:,4.915098,19.660345,44.235595,78.640606,122.875039,176.938458,240.830332,314.550030,398.096826,491.469898
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7,Psi 8,Psi 9,Psi 10
-5.000000000000000000e-01,4.434001030804720668e-03,-8.867958648841286692e-03,1.330182944201013621e-02,1.773556999906208617e-02,2.216913690960516797e-02,2.660248676499000695e-02,3.103557615884971685e-02,3.546836168695705060e-02,3.990079994792300466e-02,-4.433284754387423893e-02
-4.989989989989990216e-01,8.867958387201781492e-03,-1.773556790499200217e-02,2.660247969815022692e-02,3.546834493886411727e-02,4.433281483959550240e-02,5.319554066770194184e-02,6.205617375936516023e-02,7.091436553215159366e-02,7.976976749925256127e-02,-8.862203128367823757e-02
-4.979979979979979876e-01,1.330182839521373145e-02,-2.660247838952750632e-02,3.990077168708323907e-02,5.319553020063697707e-02,6.648557615458805525e-02,7.976973219061624099e-02,9.304682147224536959e-02,1.063156677873137584e-01,1.195750956529131881e-01,-1.328239304201993543e-01
-4.969969969969970092e-01,1.773556738172344174e-02,-3.546834075105426143e-02,5.319552653652858537e-02,7.091433204652362876e-02,8.862196590733219248e-02,1.063156385045438412e-01,1.239925624227665168e-01,1.416499528822742493e-01,1.592850281786041267e-01,-1.768950101215833737e-01
-4.959959959959959752e-01,2.216913167490430076e-02,-4.433280567947416040e-02,6.648556568776736730e-02,8.862195805986179675e-02,1.107365331819485099e-01,1.328238468098270619e-01,1.548784614093500767e-01,1.768949474918107001e-01,1.988678849515528035e-01,-2.207918644011661324e-01
-4.949949949949949968e-01,2.660247760465029102e-02,-5.319552391974693983e-02,7.976971100011938376e-02,1.063156175852579960e-01,1.328238324361746270e-01,1.592849576739835404e-01,1.856896121116704268e-01,2.120284345758634004e-01,2.382920872265510137e-01,-2.644712588684037247e-01
-4.939939939939940183e-01,3.103556150300649033e-02,-6.205614628565137014e-02,9.304678485538456223e-02,1.239925221683857853e-01,1.548784248422898358e-01,1.856895883646131618e-01,2.164111442848265232e-01,2.470282673842749410e-01,2.775261828311156864e-01,-3.078901733107999861e-01
-4.929929929929929844e-01,3.546833970459890156e-02,-7.091432367354244537e-02,1.063156102622360294e-01,1.416498859954344602e-01,1.768948796263831169e-01,2.120283761763790131e-01,2.470282309360982698e-01,2.818723834172167653e-01,3.165388712576656105e-01,-3.510058440648823330e-01
-4.919919919919920059e-01,3.990076854706467446e-02,-7.976970707610603339e-02,1.195750109605587946e-01,1.592849263321434727e-01,1.988677754056403235e-01,2.382919817508903082e-01,2.775260954808311809e-01,3.165388183325105742e-01,3.552990286347054161e-01,-3.937758061345038030e-01
-4.909909909909909720e-01,4.433280437148215403e-02,-8.862194759610961259e-02,1.328238115257233398e-01,1.768948639623507402e-01,2.207917015233175906e-01,2.644710923883051845e-01,3.078900188739914223e-01,3.510057197910742555e-01,3.937757325570900302e-01,-4.361579350149844547e-01
-4.899899899899899935e-01,4.876440352280079354e-02,-9.747069646014831779e-02,1.460608374727848102e-01,1.944769236259861478e-01,2.426612593810736074e-01,2.905564253494804516e-01,3.381053467139511493e-01,3.852513612317646219e-01,4.319382867555605632e-01,-4.781104881818977748e-01
-4.889889889889890151e-01,5.319552235027081438e-02,-1.063156050323858792e-01,1.592849153605981061e-01,2.120283344564409256e-01,2.644710637683314047e-01,3.165387311474968657e-01,3.681574963150722746e-01,4.192541555669331843e-01,4.697562455858699804e-01,-5.195921462036401373e-01
-4.879879879879879812e-01,5.762611720787391006e-02,-1.151563248282919116e-01,1.724948728958437261e-01,2.295463304172485619e-01,2.862157441883483866e-01,3.424087968273989424e-01,3.980319637456871118e-01,4.529926687900715510e-01,5.071994383179718735e-01,-5.605620534373029207e-01
-4.869869869869870027e-01,6.205614445475304830e-02,-1.239925075283721673e-01,1.856895390369497356e-01,2.470281507380016617e-01,3.078899461806597904e-01,3.681574492329776072e-01,4.277143308280638712e-01,4.864456334869546317e-01,5.442379932058800662e-01,-6.009798582677464696e-01
-4.859859859859859688e-01,6.648556045564221750e-02,-1.328238049918916419e-01,1.988677440979019773e-01,2.644710403494383022e-01,3.294883326395728895e-01,3.937755582594392179e-01,4.571902720969849843e-01,5.195919622417699557e-01,5.808423613190005774e-01,-6.408057528502529854e-01
-4.849849849849849903e-01,7.091432158129516716e-02,-1.416498692705889795e-01,2.120283198519318513e-01,2.818722503176264160e-01,3.510055851283823136e-01,4.192540400908043030e-01,4.864455617135733934e-01,5.524107609297750354e-01,6.169833401159157127e-01,-6.800005123176058319e-01
-4.839839839839840119e-01,7.534238420891709032e-02,-1.504703526223895305e-01,2.251700996350836093e-01,2.992290382771932156e-01,3.724364051890046157e-01,4.445838604209104705e-01,5.154660803310578965e-01,5.848813418881377846e-01,6.526320967418532959e-01,-7.185255334130187244e-01
-4.829829829829829779e-01,7.976970472259278799e-02,-1.592849075251030200e-01,2.382919184496327114e-01,3.165386688635059564e-01,3.937755156466751782e-01,4.697560376568403195e-01,5.442378219091190683e-01,6.169832369566017327e-01,6.877601910311901268e-01,-7.563428725108021222e-01
-4.819819819819819995e-01,8.419623951371650594e-02,-1.680931866901162752e-01,2.513926130673615478e-01,3.337984141437553842e-01,4.150176619094129160e-01,4.947616461036662416e-01,5.727469004735603608e-01,6.486962103798008528e-01,7.223395981966885815e-01,-7.934152829873689639e-01
-4.809809809809809655e-01,8.862194498142186849e-02,-1.768948430760768631e-01,2.644710221326789790e-01,3.510055540468698387e-01,4.361576132619250368e-01,5.195918191293780186e-01,6.009795568180376080e-01,6.800002715630764083e-01,7.563427311873524017e-01,-8.297062519057599728e-01
-4.799799799799799871e-01,9.304677753301157650e-02,-1.856895299025668467e-01,2.775259862655735099e-01,3.681573767921888507e-01,4.571901641536317284e-01,5.442377523088642866e-01,6.289221651446006423e-01,7.108756876737517549e-01,7.897424626970571682e-01,-8.651800359775518867e-01
-4.789789789789790087e-01,9.747069358438650855e-02,-1.944769006637653563e-01,2.905563481643894663e-01,3.852511793168287846e-01,4.781101354804919157e-01,5.686907065458354227e-01,6.565612396398506911e-01,7.413029960799238927e-01,8.225121468064009456e-01,-8.998016967667293864e-01
-4.779779779779779747e-01,1.018936495604750997e-01,-2.032566091421005028e-01,3.035609527084200399e-01,4.022842677016751911e-01,4.989123758603175585e-01,5.929420111715818509e-01,6.838834409835352623e-01,7.712630166189293757e-01,8.546256402405087993e-01,-9.335371351008509011e-01
-4.769769769769769963e-01,1.063156018956627757e-01,-2.120283094218910203e-01,3.165386470603079871e-01,4.192539575959358666e-01,5.195917629012637429e-01,6.169830670194723643e-01,7.108755827864461363e-01,8.007368636877575385e-01,8.860573232258391885e-01,-9.663531246556216203e-01
-4.759759759759759623e-01,1.107365070342201108e-01,-2.207916559029730608e-01,3.294882807682396053e-01,4.361575746401803455e-01,5.401432044631732099e-01,6.408053494740882927e-01,7.375246379544996289e-01,8.297059581477741474e-01,9.167821199293331169e-01,-9.982173446797766303e-01
-4.749749749749749839e-01,1.151563214307311650e-01,-2.295463033143151088e-01,3.424087058679283202e-01,4.529924548878060953e-01,5.605616399114736748e-01,6.644004114939281447e-01,7.638177449759382398e-01,8.581520390362648021e-01,9.467755184636192922e-01,-1.029098411828063497e+00
-4.739739739739739499e-01,1.195750015505261110e-01,-2.382919067276292879e-01,3.552987769843914401e-01,4.697559452248814549e-01,5.808420413633376134e-01,6.877598866066291228e-01,7.897422141286483122e-01,8.860571750774470789e-01,9.760135904423437037e-01,-1.058965911071001464e+00
-4.729729729729729715e-01,1.239925038701071291e-01,-2.470281215709551337e-01,3.681573514334763875e-01,4.864454037882546267e-01,6.009794149257466911e-01,7.108754918755810781e-01,8.152855336045237156e-01,9.134037759856086236e-01,1.004473010069936612e+00,-1.087790425650880577e+00
-4.719719719719719930e-01,1.284087848775762597e-01,-2.557546036422341795e-01,3.809832893231564488e-01,5.030582003818985237e-01,6.209688019251947688e-01,7.337390308369347025e-01,8.404353755479772037e-01,9.401746035533176116e-01,1.032131072750656076e+00,-1.115543566054574054e+00
