# Energy Eigenvalues:,3.419352,13.498282,29.499628,48.207332
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.585284280936454904e+00,9.453771219581439742e-06,6.182217433349199728e-05,9.023169538334208963e-04,9.927537527087587632e-02
-1.571906354515050230e+00,1.075760863692053308e-05,6.932022326688246040e-05,9.837856102445474270e-04,1.031427540868231074e-01
-1.558528428093645557e+00,1.224105600386428463e-05,7.772494905505382716e-05,1.072477555752058805e-03,1.070763194136768737e-01
-1.545150501672240884e+00,1.392888108392608722e-05,8.714628167195272526e-05,1.169043996833864403e-03,1.110785954128936243e-01
-1.531772575250836210e+00,1.584926394831616617e-05,9.770744784445750046e-05,1.274193957196977783e-03,1.151521503374387662e-01
-1.518394648829431315e+00,1.803426747280933662e-05,1.095465828016749054e-04,1.388699483671112893e-03,1.192995981798297966e-01
-1.505016722408026641e+00,2.052037266224809956e-05,1.228185370206346283e-04,1.513401314839508136e-03,1.235236003495301244e-01
-1.491638795986621968e+00,2.334908774050515498e-05,1.376969015997931735e-04,1.649215054028025642e-03,1.278268673807709255e-01
-1.478260869565217295e+00,2.656764117532242514e-05,1.543762787513031955e-04,1.797137891976674463e-03,1.322121606718955900e-01
-1.464882943143812621e+00,3.022977020882885578e-05,1.730748271090528278e-04,1.958255928553732927e-03,1.366822942573438504e-01
-1.451505016722407948e+00,3.439661805910939246e-05,1.940371151439408085e-04,2.133752147270978443e-03,1.412401366134124203e-01
-1.438127090301003275e+00,3.913775477257901283e-05,2.175373200077551183e-04,2.324915101151629054e-03,1.458886124989507704e-01
-1.424749163879598601e+00,4.453233877139987560e-05,2.438828136450726567e-04,2.533148373725608443e-03,1.506307048321735287e-01
-1.411371237458193928e+00,5.067043848923617354e-05,2.734181830778847650e-04,2.759980884617970875e-03,1.554694566047932491e-01
-1.397993311036789255e+00,5.765453616148978600e-05,3.065297374464352894e-04,3.007078115397639195e-03,1.604079728347026501e-01
-1.384615384615384581e+00,6.560123887742642262e-05,3.436505607563069263e-04,3.276254338110456445e-03,1.654494225584586253e-01
