# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-4.565217391304348116e-01,1.925687218950556112e-01,3.815502528858757403e-01,5.634242250485598236e-01,7.348026727692484883e-01,8.924931476954764964e-01
-4.531772575250836432e-01,2.072785630601951257e-01,4.100801519758744407e-01,6.040244904267055848e-01,7.849226103766683282e-01,9.488673325907474032e-01
-4.498327759197324194e-01,2.219655214992147518e-01,4.384289712149545548e-01,6.440246629340710127e-01,8.336563021159133502e-01,1.002623316465320658e+00
-4.464882943143812510e-01,2.366279758305175618e-01,4.665841925625912046e-01,6.833850027609199573e-01,8.809176797840139184e-01,1.053612770922372821e+00
-4.431438127090300827e-01,2.512643073776629765e-01,4.945333834656397420e-01,7.220664057655025170e-01,9.266232754207147648e-01,1.101695001224596959e+00
-4.397993311036789144e-01,2.658729003480613251e-01,5.222642023481994800e-01,7.600304423236629026e-01,9.706923687206028273e-01,1.146737334511905626e+00
-4.364548494983277460e-01,2.804521420113510466e-01,5.497644040613067773e-01,7.972393955083248995e-01,1.013047129592626883e+00,1.188615485884445988e+00
-4.331103678929765777e-01,2.950004228774378845e-01,5.770218452900472972e-01,8.336562985609173859e-01,1.053612755615229934e+00,1.227213901340792335e+00
-4.297658862876254093e-01,3.095161368741758956e-01,6.040244899157033442e-01,8.692449716175154606e-01,1.092317604144338095e+00,1.262426076625048577e+00
-4.264214046822742410e-01,3.239976815246715103e-01,6.307604143305639566e-01,9.039700576532070375e-01,1.129093318840890259e+00,1.294154851103070936e+00
-4.230769230769230727e-01,3.384434581241908546e-01,6.572178127030547934e-01,9.377970576089785792e-01,1.163874950394449659e+00,1.322312675856919029e+00
-4.197324414715719043e-01,3.528518719166498507e-01,6.833850021908610683e-01,9.706923646662176663e-01,1.196601071229687063e+00,1.346821855257787304e+00
-4.163879598662207360e-01,3.672213322706693317e-01,7.092504280997417032e-01,1.002623297634783306e+00,1.227213883993155674e+00,1.367614761350843811e+00
-4.130434782608695676e-01,3.815502528551743544e-01,7.348026689857571903e-01,1.033558133421473402e+00,1.255659323628758317e+00,1.384634020460428161e+00
