# Energy Eigenvalues:,4.097776,16.358917,36.678095,64.843697,100.447432,142.590424,188.125572
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7
-1.500000000000000000e+00,5.337848712537482170e-11,-1.939700662271726468e-10,8.170036506665636409e-10,5.063185732616971540e-09,5.567379646603805095e-08,1.494771884396556198e-06,2.531799413535382745e-04
-1.496996996996996954e+00,1.069455766245799454e-10,-3.885825924454224014e-10,1.636413934863587775e-09,1.013871392414410055e-08,1.114475572097039313e-07,2.991091518694209972e-06,5.064141057045533530e-04
-1.493993993993993907e+00,1.608905372607974256e-10,-5.844821665764310501e-10,2.460644575300326227e-09,1.523895712053558214e-08,1.674214259980344180e-07,4.490508255399642443e-06,7.597567276633449386e-04
-1.490990990990991083e+00,2.154039729304669780e-10,-7.823176394511336885e-10,3.292123493926070541e-09,2.037634811517633240e-08,2.236959058991623654e-07,5.994574653890074524e-06,1.013262065068340056e-03
-1.487987987987988037e+00,2.706784961246237035e-10,-9.827442739078095146e-10,4.133299963817866193e-09,2.556341025613315837e-08,2.803720397391430786e-07,7.504848087998779079e-06,1.266984410606376236e-03
-1.484984984984984990e+00,3.269094084872082234e-10,-1.186425915127768289e-09,4.986651823961865691e-09,3.081278797414968400e-08,3.375515915279338805e-07,9.022892358585669982e-06,1.520978103440445749e-03
-1.481981981981981944e+00,3.842953908749738627e-10,-1.394037189397150118e-09,5.854692778180859590e-09,3.613727760580339701e-08,3.953372291802903790e-07,1.055027931276281663e-05,1.775297540847414063e-03
-1.478978978978978898e+00,4.430392053571694822e-10,-1.606265738577449445e-09,6.739979799708113255e-09,4.154985858696071136e-08,4.538327088596475552e-07,1.208859047145119542e-05,2.029997189868149379e-03
-1.475975975975976073e+00,5.033484116353886732e-10,-1.823814497685731576e-09,7.645120663219258945e-09,4.706372509257121713e-08,5.131430612759965148e-07,1.363941866695426898e-05,2.285131598972622077e-03
-1.472972972972973027e+00,5.654361004149049664e-10,-2.047404023128225748e-09,8.572781626509054071e-09,5.269231819992819258e-08,5.733747802722504515e-07,1.520436969224374413e-05,2.540755409742422727e-03
-1.469969969969969981e+00,6.295216463187194574e-10,-2.277774879298785665e-09,9.525695284440869212e-09,5.844935865379961657e-08,6.346360140377189235e-07,1.678506396366537769e-05,2.796923368573231167e-03
-1.466966966966966934e+00,6.958314830045906190e-10,-2.515690091447002982e-09,1.050666861830404909e-08,6.434888031330028596e-08,6.970367592920152398e-07,1.838313819878631094e-05,3.053690338399708392e-03
-1.463963963963963888e+00,7.645999032237885743e-10,-2.761937672940336158e-09,1.151859126429034911e-08,7.040526436204012487e-08,7.606890587880812426e-07,2.000024711112180574e-05,3.311111310445417899e-03
-1.460960960960961064e+00,8.360698866483972459e-10,-3.017333235290850765e-09,1.256444402544528014e-08,7.663327436493944367e-08,8.257072024889252726e-07,2.163806512349542130e-05,3.569241416000170416e-03
-1.457957957957958017e+00,9.104939583921400638e-10,-3.282722689591445364e-09,1.364730765216808606e-08,8.304809225716995593e-08,8.922079327793056578e-07,2.329828810180703194e-05,3.828135938227363727e-03
-1.454954954954954971e+00,9.881350812581320596e-10,-3.558985048309105107e-09,1.477037191712471524e-08,8.966535535295001971e-08,9.603106540808118577e-07,2.498263511100357902e-05,4.087850324003795659e-03
-1.451951951951951925e+00,1.069267584866193471e-09,-3.847035336715373639e-09,1.593694501130644861e-08,9.650119446441511602e-08,1.030137647246768834e-06,2.669285019507219232e-05,4.348440195794719271e-03
-1.448948948948948878e+00,1.154178134942522015e-09,-4.147827623596828922e-09,1.715046328891057699e-08,1.035722732234769578e-07,1.101814289121827516e-06,2.843070418289638161e-05,4.609961363566292616e-03
