# Energy Eigenvalues:,4.740917,18.959082,42.640741,75.762981,118.293760,170.191932,231.407289,301.880609,381.543713,470.319533
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5,Psi 6,Psi 7,Psi 8,Psi 9,Psi 10
-1.666666666666666297e-01,1.219762965576534075e+00,-1.197827161434670273e+00,4.354794952671132285e-02,1.240730418029031057e+00,1.174931732098790205e+00,-8.707597213467214992e-02,1.260713610804208296e+00,-1.151078906767431187e+00,-1.305628789421296454e-01,-1.279689079104695981e+00
-1.565656565656565191e-01,1.240553096683930434e+00,-1.150431469796348916e+00,1.737707443275612329e-01,1.311715931339887620e+00,1.042696119393564658e+00,-3.449429032348191870e-01,1.362844025680711058e+00,-9.189448316639085013e-01,-5.109500682677760031e-01,-1.393145014206710997e+00
-1.464646464646464086e-01,1.260143072790127716e+00,-1.098584982292465817e+00,3.024815070449418664e-01,1.362421981505973934e+00,8.852907393981329642e-01,-5.908301385506348202e-01,1.400619366301710800e+00,-6.302019155692950569e-01,-8.515556462716742381e-01,-1.372895549332614262e+00
-1.363636363636363535e-01,1.278513941858445246e+00,-1.042488282911105069e+00,4.285602861964032950e-01,1.392064640047817603e+00,7.065152195504653676e-01,-8.161981364689747664e-01,1.372255837306274096e+00,-3.026373000630342980e-01,-1.125860703260546325e+00,-1.220884102269275795e+00
-1.262626262626262430e-01,1.295647931259540364e+00,-9.823583988844398762e-01,5.509100319887919595e-01,1.400185623897396869e+00,5.106850436699307272e-01,-1.013219978304853441e+00,1.279092797403304838e+00,4.357037888612849685e-02,-1.312508363409502721e+00,-9.516997869447576530e-01
-1.161616161616161325e-01,1.311528464965243890e+00,-9.184279610525016846e-01,6.684661420820630084e-01,1.386659380571320987e+00,3.025273799732631219e-01,-1.175053193301723198e+00,1.125529513301128048e+00,3.870940352854053690e-01,-1.396966590945784681e+00,-5.911772409457622945e-01
-1.060606060606060219e-01,1.326140179584811563e+00,-8.509443038596667952e-01,7.802057250179480485e-01,1.351695029244287971e+00,8.706697139127772544e-02,-1.296077394243947856e+00,9.188174212353474868e-01,7.067719243034205068e-01,-1.372659627122224668e+00,-1.739171775660412200e-01
-9.595959595959591137e-02,1.339468939228037447e+00,-7.801685084657573599e-01,8.851565007095687498e-01,1.295833127713289956e+00,-1.304951573063019010e-01,-1.372089470714610959e+00,6.687177057463303820e-01,9.829112481091910603e-01,-1.241479966425654835e+00,2.600343756098264514e-01
-8.585858585858580083e-02,1.351501849180798631e+00,-7.063743926737423573e-01,9.824052605460983356e-01,1.219937315236064634e+00,-3.449072476745867477e-01,-1.400449561033673795e+00,3.870403652332267685e-01,1.198501271635631360e+00,-1.013641010515546226e+00,6.690294455453303923e-01
-7.575757575757574580e-02,1.362227268379846645e+00,-6.298474515818440755e-01,1.071105813498548498e+00,1.125180960447692113e+00,-5.509935804235563950e-01,-1.380172733343564051e+00,8.708653014326654673e-02,1.340261217908376601e+00,-7.068818719801295281e-01,1.013815227359194049e+00
