# Energy Eigenvalues:,3.801409,15.127794,33.703746,58.854927,88.436000
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-1.500000000000000000e+00,1.913813535119725296e-08,-8.320176102422148888e-08,4.976057509024964616e-07,-5.910812106131672849e-06,-2.579204129059710490e-04
-1.496996996996996954e+00,3.830947618981344154e-08,-1.665308839513276077e-07,9.958065003617604965e-07,-1.182601059501383580e-05,-5.158946199968174806e-04
-1.493993993993993907e+00,5.754728561621545063e-08,-2.501149256446717792e-07,1.495197958387920443e-06,-1.774998510450871068e-05,-7.739764266772113620e-04
-1.490990990990991083e+00,7.688494205662668498e-08,-3.340818331869810571e-07,1.996377258748516179e-06,-2.368713178511742774e-05,-1.032219660793753284e-03
-1.487987987987988037e+00,9.635599717613129824e-08,-4.185601397365945005e-07,2.499943672974978554e-06,-2.964185656234038748e-05,-1.290678183861789690e-03
-1.484984984984984990e+00,1.159942340922548463e-07,-5.036791612808413390e-07,3.006499326925277006e-06,-3.561857840629141958e-05,-1.549405902299247264e-03
-1.481981981981981944e+00,1.358337259901268079e-07,-5.895691945877492724e-07,3.516649920759588821e-06,-4.162173261099283981e-05,-1.808456778669857495e-03
-1.478978978978978898e+00,1.559088952409198735e-07,-6.763617166590800757e-07,4.031005453189774567e-06,-4.765577408578351335e-05,-2.067884842938052560e-03
-1.475975975975976073e+00,1.762545731261442479e-07,-7.641895859900296243e-07,4.550180950868786239e-06,-5.372518066128406715e-05,-2.327744203737946733e-03
-1.472972972972973027e+00,1.969060602714178203e-07,-8.531872459436561568e-07,5.074797203792064121e-06,-5.983445641237142157e-05,-2.588089059658710712e-03
-1.469969969969969981e+00,2.178991878945684640e-07,-9.434909305513611402e-07,5.605481507590303923e-06,-6.598813500062906262e-05,-2.848973710548712620e-03
-1.466966966966966934e+00,2.392703799743355898e-07,-1.035238873054448481e-06,6.142868413601113622e-06,-7.219078303875323479e-05,-3.110452568840754543e-03
-1.463963963963963888e+00,2.610567164475420686e-07,-1.128571517506013245e-06,6.687600487616635647e-06,-7.844700347941318522e-05,-3.372580170900861627e-03
-1.460960960960961064e+00,2.832959975443780565e-07,-1.223631733757038283e-06,7.240329078214111056e-06,-8.476143903107836183e-05,-3.635411188402869111e-03
-1.457957957957958017e+00,3.060268093734243347e-07,-1.320565036155798706e-06,7.801715095588226693e-06,-9.113877560334759974e-05,-3.899000439731222477e-03
-1.454954954954954971e+00,3.292885908702043538e-07,-1.419519806295345122e-06,8.372429801816411523e-06,-9.758374578433697314e-05,-4.163402901414332141e-03
-1.451951951951951925e+00,3.531217022254416386e-07,-1.520647520150103878e-06,8.953155613502448003e-06,-1.041011323527111457e-04,-4.428673719591081324e-03
-1.448948948948948878e+00,3.775674949117185512e-07,-1.624102979949164313e-06,9.544586917757415099e-06,-1.106957718269566051e-04,-4.694868221512511069e-03
-1.445945945945946054e+00,4.026683834300585881e-07,-1.730044551141295356e-06,1.014743090249421588e-05,-1.173725580545365417e-04,-4.962041927081368639e-03
-1.442942942942943008e+00,4.284679189009119613e-07,-1.838634404814404320e-06,1.076240840202837672e-05,-1.241364458435905403e-04,-5.230250560431875043e-03
-1.439939939939939961e+00,4.550108646272216573e-07,-1.950038765940505022e-06,1.139025475899612305e-05,-1.309924546398718063e-04,-5.499550061552049667e-03
-1.436936936936936915e+00,4.823432737606771750e-07,-2.064428167826201322e-06,1.203172070362030993e-05,-1.379456722516512860e-04,-5.769996597951035366e-03
-1.433933933933933869e+00,5.105125692059120006e-07,-2.181977713158202855e-06,1.268757325137571240e-05,-1.450012586253537070e-04,-6.041646576373911615e-03
-1.430930930930931044e+00,5.395676259012836812e-07,-2.302867342043467951e-06,1.335859662012696125e-05,-1.521644496747272116e-04,-6.314556654566392223e-03
-1.427927927927927998e+00,5.695588556189862156e-07,-2.427282107454240933e-06,1.404559316783562863e-05,-1.594405611663859881e-04,-6.588783753091818907e-03
-1.424924924924924952e+00,6.005382944316393161e-07,-2.555412458499679353e-06,1.474938435195787257e-05,-1.668349926646121666e-04,-6.864385067202979918e-03
-1.421921921921921905e+00,6.325596929971290802e-07,-2.687454531957748642e-06,1.547081171168034617e-05,-1.743532315383493683e-04,-7.141418078771484199e-03
-1.418918918918918859e+00,6.656786098182962419e-07,-2.823610452513440206e-06,1.621073787416744955e-05,-1.820008570333464233e-04,-7.419940568276522062e-03
-1.415915915915916035e+00,6.999525076393197752e-07,-2.964088642163066771e-06,1.697004758602419018e-05,-1.897835444124850997e-04,-7.700010626856022139e-03
-1.412912912912912988e+00,7.354408531460632585e-07,-3.109104139258318678e-06,1.774964877120824671e-05,-1.977070691673666681e-04,-7.981686668422813616e-03
-1.409909909909909942e+00,7.722052201433195388e-07,-3.258878927678264327e-06,1.855047361665512122e-05,-2.057773113042715371e-04,-8.265027441847837275e-03
-1.406906906906906896e+00,8.103093963880131808e-07,-3.413642276633339516e-06,1.937347968691544218e-05,-2.140002597076818441e-04,-8.550092043213382981e-03
-1.403903903903903849e+00,8.498194942636970132e-07,-3.573631091621402633e-06,2.021965106913667384e-05,-2.223820165846008526e-04,-8.836939928138661665e-03
-1.400900900900900803e+00,8.908040654883908707e-07,-3.739090277073179099e-06,2.108999954975887084e-05,-2.309288019929717163e-04,-9.125630924180521200e-03
-1.397897897897897979e+00,9.333342200547449724e-07,-3.910273111242027002e-06,2.198556582433047811e-05,-2.396469584575462014e-04,-9.416225243311473689e-03
-1.394894894894894932e+00,9.774837496089414976e-07,-4.087441633912121255e-06,2.290742074189197568e-05,-2.485429556766415352e-04,-9.708783494478118517e-03
-1.391891891891891886e+00,1.023329255482362330e-06,-4.270867047518351608e-06,2.385666658541426690e-05,-2.576233953232667535e-04,-1.000336669624219375e-02
