# Energy Eigenvalues:,2.827029,10.796689
# Position x, Psi 1,Psi 2
-1.187687687687687621e+00,7.895308711924333908e-03,-4.168182919780361040e-02
-1.184684684684684797e+00,8.042563768517106693e-03,-4.229924122951352061e-02
-1.181681681681681750e+00,8.192309869503460601e-03,-4.292367457186685442e-02
-1.178678678678678704e+00,8.344593396136463018e-03,-4.355523287543384275e-02
-1.175675675675675658e+00,8.499461515592644789e-03,-4.419402097346693953e-02
-1.172672672672672611e+00,8.656962195581272348e-03,-4.484014489930239489e-02
-1.169669669669669787e+00,8.817144219201506622e-03,-4.549371190396087755e-02
-1.166666666666666741e+00,8.980057200052097774e-03,-4.615483047395016469e-02
-1.163663663663663694e+00,9.145751597598398425e-03,-4.682361034927323001e-02
-1.160660660660660648e+00,9.314278732801210825e-03,-4.750016254164365903e-02
-1.157657657657657602e+00,9.485690804012635730e-03,-4.818459935291304758e-02
-1.154654654654654777e+00,9.660040903143570293e-03,-4.887703439371195863e-02
-1.151651651651651731e+00,9.837383032108033137e-03,-4.957758260230841346e-02
-1.148648648648648685e+00,1.001777211954923974e-02,-5.028636026368627637e-02
-1.145645645645645638e+00,1.020126403785284221e-02,-5.100348502884786278e-02
-1.142642642642642592e+00,1.038791562045257404e-02,-5.172907593434360879e-02
-1.139639639639639768e+00,1.057778467943325425e-02,-5.246325342203037034e-02
-1.136636636636636721e+00,1.077093002343703851e-02,-5.320613935906350761e-02
-1.133633633633633675e+00,1.096741147587842330e-02,-5.395785705812606442e-02
-1.130630630630630629e+00,1.116728989347353686e-02,-5.471853129789772119e-02
-1.127627627627627582e+00,1.137062718508948661e-02,-5.548828834376719893e-02
-1.124624624624624758e+00,1.157748633091952063e-02,-5.626725596879101482e-02
-1.121621621621621490e+00,1.178793140199007640e-02,-5.705556347490289143e-02
-1.118618618618618665e+00,1.200202758000558020e-02,-5.785334171437631068e-02
-1.115615615615615619e+00,1.221984117753752326e-02,-5.866072311154572894e-02
-1.112612612612612573e+00,1.244143965856332745e-02,-5.947784168478640471e-02
-1.109609609609609748e+00,1.266689165936230044e-02,-6.030483306876113087e-02
-1.106606606606606480e+00,1.289626700977476378e-02,-6.114183453693547432e-02
-1.103603603603603656e+00,1.312963675483016200e-02,-6.198898502436174518e-02
