# Energy Eigenvalues:,3.108855,12.108395,25.334644
# Position x, Psi 1,Psi 2,Psi 3
-1.385885885885885793e+00,4.946018932800450973e-04,2.905459595269675992e-03,3.454702893356498966e-02
-1.382882882882882969e+00,5.103802836337945677e-04,2.992239095587746756e-03,3.547178809332338784e-02
-1.379879879879879923e+00,5.264062136003652475e-04,3.079984173367900351e-03,3.639953201276803496e-02
-1.376876876876876876e+00,5.426874559182949011e-04,3.168723143416146606e-03,3.733033875654695466e-02
-1.373873873873873830e+00,5.592319071552022880e-04,3.258484641261532016e-03,3.826428664702843235e-02
-1.370870870870870784e+00,5.760475915376966427e-04,3.349297632396616622e-03,3.920145427089106321e-02
-1.367867867867867959e+00,5.931426648432166744e-04,3.441191421624503234e-03,4.014192048573680949e-02
-1.364864864864864913e+00,6.105254183556557820e-04,3.534195662515272202e-03,4.108576442672592921e-02
-1.361861861861861867e+00,6.282042828867278684e-04,3.628340366975057411e-03,4.203306551323632290e-02
-1.358858858858858820e+00,6.461878328649979953e-04,3.723655914930717754e-03,4.298390345554635450e-02
-1.355855855855855774e+00,6.644847904945609934e-04,3.820173064133217024e-03,4.393835826154157687e-02
-1.352852852852852950e+00,6.831040299853985203e-04,3.917922960082964416e-03,4.489651024344704783e-02
-1.349849849849849903e+00,7.020545818574613255e-04,4.016937146080278888e-03,4.585844002458507040e-02
-1.346846846846846857e+00,7.213456373205635918e-04,4.117247573404231309e-03,4.682422854615937713e-02
-1.343843843843843811e+00,7.409865527322160184e-04,4.218886611623138237e-03,4.779395707406600136e-02
-1.340840840840840764e+00,7.609868541355587846e-04,4.321887059040061853e-03,4.876770720573175844e-02
-1.337837837837837718e+00,7.813562418795783017e-04,4.426282153276553909e-03,4.974556087697940693e-02
-1.334834834834834894e+00,8.021045953238762315e-04,4.532105581998246285e-03,5.072760036892229318e-02
-1.331831831831831847e+00,8.232419776302591372e-04,4.639391493785661319e-03,5.171390831488788947e-02
-1.328828828828828801e+00,8.447786406434772003e-04,4.748174509153765994e-03,5.270456770737105140e-02
-1.325825825825825754e+00,8.667250298634689501e-04,4.858489731723782817e-03,5.369966190501724440e-02
-1.322822822822822708e+00,8.890917895115503771e-04,4.970372759551003501e-03,5.469927463963761283e-02
-1.319819819819819884e+00,9.118897676929495037e-04,5.083859696611948281e-03,5.570349002325333809e-02
-1.316816816816816837e+00,9.351300216582438289e-04,5.198987164454882404e-03,5.671239255517297045e-02
-1.313813813813813791e+00,9.588238231662635919e-04,5.315792314017508784e-03,5.772606712910410137e-02
-1.310810810810810745e+00,9.829826639509930096e-04,5.434312837615256839e-03,5.874459904029574742e-02
-1.307807807807807698e+00,1.007618261295187582e-03,5.554586981104421908e-03,5.976807399271604621e-02
-1.304804804804804874e+00,1.032742563713366472e-03,5.676653556223822464e-03,6.079657810626326597e-02
-1.301801801801801828e+00,1.058367756746965817e-03,5.800551953119127170e-03,6.183019792401252962e-02
