# Energy Eigenvalues:,3.413637,13.476072,29.454787,48.260963
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.002512562814070307e+00,2.630687427822394307e-03,9.012683954365233174e-03,3.771771781449054922e-02,3.383592817301469546e-01
-9.874371859296482423e-01,3.043846842700167251e-03,1.025473977307161944e-02,4.153651091338245865e-02,3.515449976270172416e-01
-9.723618090452261775e-01,3.521251779800020111e-03,1.166645699280120102e-02,4.575732784781939150e-02,3.650105223428643519e-01
-9.572864321608040017e-01,4.072664421862157332e-03,1.326741137993767659e-02,5.042250437340676378e-02,3.787656646624150691e-01
-9.422110552763819369e-01,4.710785078805982025e-03,1.508881710667468214e-02,5.557437624574992907e-02,3.928202333703956772e-01
-9.271356783919598721e-01,5.448561930170568376e-03,1.716486525343036487e-02,6.125527922045436585e-02,4.071840372515328488e-01
-9.120603015075376963e-01,6.301991356117287411e-03,1.952974690062288243e-02,6.750754905312555954e-02,4.218668850905532564e-01
-8.969849246231156314e-01,7.289294791819308020e-03,2.221753086250206899e-02,7.437391413754049219e-02,4.368784658038779023e-01
-8.819095477386934556e-01,8.429979205623270785e-03,2.526574239624873250e-02,8.191980825033616520e-02,4.522259609241507383e-01
-8.668341708542713908e-01,9.750495478681784831e-03,2.873404523143023234e-02,9.023159626961269053e-02,4.679222059506308318e-01
-8.517587939698493260e-01,1.127888252933638945e-02,3.268733444978001029e-02,9.939386795666292629e-02,4.839825446763492689e-01
-8.366834170854271502e-01,1.304427201858624798e-02,3.719050513303151506e-02,1.094912130727798000e-01,5.004223208943369139e-01
-8.216080402010050854e-01,1.508667311111902380e-02,4.230878814976531815e-02,1.206080570585564282e-01,5.172568783976242424e-01
-8.065326633165829096e-01,1.745149588453247247e-02,4.812571390903559038e-02,1.328376640117559793e-01,5.345015609792422850e-01
-7.914572864321608447e-01,2.018442188386979433e-02,5.474502425937331773e-02,1.463096369463743329e-01,5.521717124322215176e-01
-7.763819095477386689e-01,2.334357480756297371e-02,6.227226560281796941e-02,1.611607525371251681e-01,5.702826765495931927e-01
-7.613065326633166041e-01,2.700182913086685704e-02,7.083564691696360438e-02,1.775277874587218307e-01,5.888497971243875639e-01
-7.462311557788945393e-01,3.123272298047011925e-02,8.057778018697321631e-02,1.955472123694242392e-01,6.078884179496357731e-01
-7.311557788944723635e-01,3.612018457498282487e-02,9.165613231817675011e-02,2.153710531679803031e-01,6.274138828183684069e-01
-7.160804020100502987e-01,4.177855799614144799e-02,1.042626417321548538e-01,2.372098283003457042e-01,6.474415355236162739e-01
-7.010050251256281229e-01,4.832711058124321973e-02,1.185981046875761308e-01,2.612847237315233939e-01,6.679867198584104049e-01
-6.859296482412060580e-01,5.589083599535774050e-02,1.349072489096105609e-01,2.878169254265158794e-01,6.890647796157811644e-01
-6.708542713567839932e-01,6.464247876350928679e-02,1.534609379907254656e-01,3.170270635980662610e-01,7.106910585887595833e-01
-6.557788944723618174e-01,7.477525863445651233e-02,1.745597981953116162e-01,3.491630327017308244e-01,7.328809005703764701e-01
-6.407035175879397526e-01,8.648406557371139669e-02,1.985690228364206111e-01,3.845667136584510759e-01,7.556496493536625225e-01
-6.256281407035175768e-01,1.000207275667827633e-01,2.258706768413194232e-01,4.235958095667412548e-01,7.790126487316485493e-01
-6.105527638190955120e-01,1.156960542766610894e-01,2.569318537114220757e-01,4.666080235251143793e-01,8.029852424973651370e-01
-5.954773869346734472e-01,1.338228635793874965e-01,2.922653229261076846e-01,5.139554319704129348e-01,8.275832749767320085e-01
-5.804020100502512713e-01,1.547643637801415228e-01,3.324301808782325618e-01,5.659840222725297521e-01,8.528316820616126392e-01
