#Applied Cell Voltage [V], Min Resistor Voltage Drop [V], Max Resistor Voltage Drop [V]
0.0,0.018,0.02
3.6,0.167,0.180
4.5,0.197,0.211
8.6,0.350,0.397
11.4,0.473,0.505
14.8,0.61,0.66
19.4,0.79,0.84
25.2,1.05,1.09
29.9,1.23,1.31
33.4,1.38,1.43
37.8,1.49,1.60
41.8,1.65,1.72
44.7,1.69,1.78
50.1,1.83,1.93
54.5,1.96,2.03
58.9,1.98,2.14
65.5,2.05,2.17
70.0,2.13,2.26
77.2,2.15,2.28
87.2,2.14,2.32
101,2.18,2.37
116,2.16,2.37
