# T1 measurement with distilled water
# TAU (x100)        U (V)
     0          1.3
    50          1.4
   100          1.6
   150          1.7
   200          1.5
   250          1.6
   300          1.9
   350          1.8
   400          1.7
   450          2.0
   500          2.0
   550          1.8
   600          2.2
   650          2.1
   700          2.1
   750          2.1
   800          2.1
   850          2.2
   900          2.2
   950          2.4
  1000          2.3
