START: TDC 0
STOP: TDC 0
From: -48000000000 ps
To: 48000000000 ps
START counts: 81705
STOP counts: 81705
Measurements: 81665
Elapsed time: 30.0 s
Offset: 0.000 ps

Time [ps]	Counts
0.000	4418
19410000.000	4181
38820000.000	3935
58230000.000	3778
77640000.000	3626
97050000.000	3382
116460000.000	3135
135870000.000	2963
155280000.000	2762
174690000.000	2641
194100000.000	2530
213510000.000	2461
232920000.000	2261
252330000.000	2174
271740000.000	2105
291150000.000	1882
310560000.000	1714
329970000.000	1738
349380000.000	1604
368790000.000	1501
388200000.000	1473
407610000.000	1441
427020000.000	1319
446430000.000	1263
465840000.000	1163
485250000.000	1137
504660000.000	1045
524070000.000	999
543480000.000	940
562890000.000	849
582300000.000	830
601710000.000	761
621120000.000	757
640530000.000	689
659940000.000	659
679350000.000	632
698760000.000	597
718170000.000	556
737580000.000	513
756990000.000	481
776400000.000	464
795810000.000	430
815220000.000	432
834630000.000	427
854040000.000	430
873450000.000	348
892860000.000	348
912270000.000	303
931680000.000	314
951090000.000	274
970500000.000	262
989910000.000	273
1009320000.000	231
1028730000.000	229
1048140000.000	213
1067550000.000	193
1086960000.000	194
1106370000.000	176
1125780000.000	202
1145190000.000	151
1164600000.000	152
1184010000.000	133
1203420000.000	120
1222830000.000	130
1242240000.000	143
1261650000.000	132
1281060000.000	107
1300470000.000	106
1319880000.000	115
1339290000.000	104
1358700000.000	82
1378110000.000	81
1397520000.000	92
1416930000.000	83
1436340000.000	69
1455750000.000	54
1475160000.000	70
1494570000.000	65
1513980000.000	66
1533390000.000	48
1552800000.000	42
1572210000.000	51
1591620000.000	47
1611030000.000	52
1630440000.000	33
1649850000.000	39
1669260000.000	29
1688670000.000	41
1708080000.000	36
1727490000.000	28
1746900000.000	23
1766310000.000	22
1785720000.000	26
1805130000.000	18
1824540000.000	26
1843950000.000	25
1863360000.000	25
1882770000.000	13
1902180000.000	14
1921590000.000	15
1941000000.000	15
1960410000.000	12
1979820000.000	18
1999230000.000	14
2018640000.000	7
2038050000.000	10
2057460000.000	10
2076870000.000	14
2096280000.000	15
2115690000.000	10
2135100000.000	6
2154510000.000	6
2173920000.000	6
2193330000.000	11
2212740000.000	11
2232150000.000	11
2251560000.000	13
2270970000.000	7
2290380000.000	2
2309790000.000	6
2329200000.000	7
2348610000.000	5
2368020000.000	7
2387430000.000	7
2406840000.000	4
2426250000.000	4
2445660000.000	0
2465070000.000	7
2484480000.000	3
2503890000.000	7
2523300000.000	3
2542710000.000	1
2562120000.000	4
2581530000.000	5
2600940000.000	3
2620350000.000	0
2639760000.000	3
2659170000.000	4
2678580000.000	0
2697990000.000	0
2717400000.000	3
2736810000.000	1
2756220000.000	3
2775630000.000	0
2795040000.000	3
2814450000.000	3
2833860000.000	3
2853270000.000	0
2872680000.000	1
2892090000.000	1
2911500000.000	0
2930910000.000	1
2950320000.000	3
2969730000.000	2
2989140000.000	1
3008550000.000	2
3027960000.000	0
3047370000.000	0
3066780000.000	0
3086190000.000	0
3105600000.000	1
3125010000.000	0
3144420000.000	0
3163830000.000	0
3183240000.000	1
3202650000.000	1
3222060000.000	0
3241470000.000	1
3260880000.000	2
3280290000.000	1
3299700000.000	1
3319110000.000	1
3338520000.000	0
3357930000.000	0
3377340000.000	0
3396750000.000	1
3416160000.000	0
3435570000.000	0
3454980000.000	0
3474390000.000	0
3493800000.000	0
3513210000.000	0
3532620000.000	0
3552030000.000	0
3571440000.000	0
3590850000.000	0
3610260000.000	1
3629670000.000	1
3649080000.000	0
3668490000.000	0
3687900000.000	0
3707310000.000	0
3726720000.000	0
3746130000.000	0
3765540000.000	0
3784950000.000	1
3804360000.000	0
3823770000.000	0
3843180000.000	0
3862590000.000	1
