# Loop, Matrix, Numpy FFT, Numpy RFFT
0.000000000000000000e+00,0.000000000000000000e+00,5.872964859008789062e-03,2.145051956176757812e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.871917724609375000e-03,2.203941345214843750e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.820968627929687500e-03,1.825094223022460938e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.886056900024414062e-03,1.981258392333984375e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.572059631347656250e-03,1.899957656860351562e-03
