# Loop, Matrix, Numpy FFT, Numpy RFFT
0.000000000000000000e+00,6.929907798767089844e-01,2.598762512207031250e-04,1.132488250732421875e-04
0.000000000000000000e+00,5.677838325500488281e-01,2.558231353759765625e-04,1.449584960937500000e-04
0.000000000000000000e+00,5.703411102294921875e-01,2.298355102539062500e-04,1.060962677001953125e-04
0.000000000000000000e+00,5.687129497528076172e-01,2.291202545166015625e-04,1.070499420166015625e-04
0.000000000000000000e+00,6.022677421569824219e-01,2.241134643554687500e-04,1.070499420166015625e-04
