# Loop, Matrix, Numpy FFT, Numpy RFFT
2.777875900268554688e+00,1.723003387451171875e-02,1.389980316162109375e-04,9.298324584960937500e-05
2.548270225524902344e+00,1.293516159057617188e-02,1.409053802490234375e-04,7.081031799316406250e-05
3.250790834426879883e+00,2.034902572631835938e-02,2.028942108154296875e-04,1.142024993896484375e-04
3.179090023040771484e+00,1.216912269592285156e-02,1.158714294433593750e-04,6.484985351562500000e-05
2.388581037521362305e+00,1.188516616821289062e-02,8.392333984375000000e-05,6.198883056640625000e-05
