# Loop, Matrix, Numpy FFT, Numpy RFFT
0.000000000000000000e+00,0.000000000000000000e+00,2.083778381347656250e-03,7.009506225585937500e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.130819320678710938e-03,7.328987121582031250e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.133680343627929688e-03,7.600784301757812500e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.101016998291015625e-03,6.999969482421875000e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.117944717407226562e-03,7.119178771972656250e-04
