# Loop, Matrix, Numpy FFT, Numpy RFFT
0.000000000000000000e+00,7.570714950561523438e+00,3.290176391601562500e-04,1.761913299560546875e-04
0.000000000000000000e+00,5.147846937179565430e+00,3.340244293212890625e-04,1.757144927978515625e-04
0.000000000000000000e+00,6.425873994827270508e+00,5.021095275878906250e-04,3.440380096435546875e-04
0.000000000000000000e+00,5.528670072555541992e+00,3.342628479003906250e-04,3.151893615722656250e-04
0.000000000000000000e+00,4.565691232681274414e+00,9.160041809082031250e-04,2.570152282714843750e-04
