# Loop, Matrix, Numpy FFT, Numpy RFFT
0.000000000000000000e+00,0.000000000000000000e+00,6.125211715698242188e-03,2.307891845703125000e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.947019577026367188e-03,1.939058303833007812e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.409862518310546875e-03,1.796960830688476562e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.999067306518554688e-03,1.644134521484375000e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.082036972045898438e-03,1.571178436279296875e-03
