# Loop, Matrix, Numpy FFT, Numpy RFFT
0.000000000000000000e+00,0.000000000000000000e+00,3.624200820922851562e-03,1.316070556640625000e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.073764801025390625e-03,1.432895660400390625e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.088069915771484375e-03,1.307964324951171875e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.022266387939453125e-03,1.356124877929687500e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.261161804199218750e-03,1.339912414550781250e-03
