# Loop, Matrix, Numpy FFT, Numpy RFFT
1.592184066772460938e+00,9.279966354370117188e-03,8.201599121093750000e-05,5.984306335449218750e-05
1.559653043746948242e+00,7.576704025268554688e-03,1.192092895507812500e-04,8.106231689453125000e-05
1.545549154281616211e+00,8.234024047851562500e-03,8.130073547363281250e-05,5.984306335449218750e-05
1.662861108779907227e+00,7.827281951904296875e-03,8.106231689453125000e-05,6.103515625000000000e-05
1.564779043197631836e+00,7.671117782592773438e-03,1.151561737060546875e-04,8.511543273925781250e-05
