Total counts: 73912
Active taps: 162
Average width: 17.64 ps
Temperature: 58.2 °C

Bin	Counts	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	1028	39.74	19.87	1.2532	1.253
2	1255	48.51	64.00	1.7507	3.004
3	1168	45.15	110.83	1.5600	4.564
4	1160	44.84	155.82	1.5425	6.106
5	87	3.36	179.92	-0.8093	5.297
6	924	35.72	199.47	1.0252	6.322
7	95	3.67	219.16	-0.7918	5.530
8	375	14.50	228.24	-0.1781	5.352
9	391	15.11	243.05	-0.1430	5.209
10	725	28.03	264.62	0.5891	5.798
11	97	3.75	280.51	-0.7874	5.011
12	1088	42.06	303.41	1.3847	6.396
13	48	1.86	325.37	-0.8948	5.501
14	570	22.03	337.31	0.2493	5.750
15	169	6.53	351.60	-0.6296	5.121
16	123	4.75	357.24	-0.7304	4.390
17	21	0.81	360.02	-0.9540	3.436
18	790	30.54	375.70	0.7315	4.168
19	8	0.31	391.12	-0.9825	3.185
20	1842	71.20	426.88	3.0373	6.223
21	308	11.91	468.43	-0.3249	5.898
22	602	23.27	486.02	0.3195	6.217
23	303	11.71	503.51	-0.3359	5.881
24	871	33.67	526.20	0.9091	6.790
25	48	1.86	543.97	-0.8948	5.896
26	744	28.76	559.28	0.6307	6.526
27	84	3.25	575.28	-0.8159	5.710
28	866	33.48	593.64	0.8981	6.608
29	33	1.28	611.02	-0.9277	5.681
30	848	32.78	628.04	0.8586	6.539
31	127	4.91	646.89	-0.7216	5.818
32	559	21.61	660.15	0.2252	6.043
33	32	1.24	671.57	-0.9299	5.113
34	1058	40.90	692.64	1.3189	6.432
35	83	3.21	714.69	-0.8181	5.614
36	1362	52.65	742.62	1.9852	7.599
37	73	2.82	770.36	-0.8400	6.759
38	40	1.55	772.54	-0.9123	5.847
39	21	0.81	773.72	-0.9540	4.893
40	660	25.51	786.88	0.4466	5.339
41	185	7.15	803.21	-0.5945	4.745
42	43	1.66	807.62	-0.9058	3.839
43	38	1.47	809.19	-0.9167	2.923
44	1251	48.36	834.10	1.7419	4.664
45	97	3.75	860.15	-0.7874	3.877
46	602	23.27	873.66	0.3195	4.197
47	286	11.06	890.83	-0.3731	3.823
48	683	26.40	909.56	0.4970	4.320
49	60	2.32	923.92	-0.8685	3.452
50	722	27.91	939.03	0.5825	4.034
51	156	6.03	956.00	-0.6581	3.376
52	706	27.29	972.66	0.5474	3.924
53	128	4.95	988.78	-0.7195	3.204
54	1144	44.22	1013.37	1.5074	4.712
55	8	0.31	1035.63	-0.9825	3.729
56	446	17.24	1044.41	-0.0225	3.707
57	239	9.24	1057.65	-0.4762	3.231
58	787	30.42	1077.48	0.7249	3.955
59	93	3.60	1094.49	-0.7962	3.159
60	644	24.89	1108.73	0.4115	3.571
61	120	4.64	1123.50	-0.7370	2.834
62	740	28.61	1140.12	0.6219	3.456
63	42	1.62	1155.23	-0.9079	2.548
64	887	34.29	1173.19	0.9441	3.492
65	21	0.81	1190.74	-0.9540	2.538
66	896	34.64	1208.46	0.9638	3.502
67	16	0.62	1226.09	-0.9649	2.537
68	1115	43.10	1247.95	1.4439	3.981
69	207	8.00	1273.50	-0.5463	3.434
70	713	27.56	1291.28	0.5628	3.997
71	204	7.89	1309.01	-0.5529	3.444
72	569	22.00	1323.95	0.2471	3.691
73	54	2.09	1335.99	-0.8816	2.810
74	887	34.29	1354.18	0.9441	3.754
75	138	5.33	1373.99	-0.6975	3.056
76	698	26.98	1390.15	0.5299	3.586
77	217	8.39	1407.83	-0.5244	3.062
78	864	33.40	1428.73	0.8937	3.956
79	69	2.67	1446.76	-0.8488	3.107
80	832	32.16	1464.17	0.8236	3.930
81	124	4.79	1482.65	-0.7282	3.202
82	661	25.55	1497.82	0.4488	3.651
83	409	15.81	1518.50	-0.1036	3.547
84	347	13.41	1533.12	-0.2394	3.308
85	35	1.35	1540.50	-0.9233	2.385
86	566	21.88	1552.12	0.2406	2.625
87	377	14.57	1570.34	-0.1737	2.452
88	1447	55.94	1605.60	2.1715	4.623
89	221	8.54	1637.84	-0.5156	4.107
90	879	33.98	1659.10	0.9266	5.034
91	52	2.01	1677.09	-0.8860	4.148
92	662	25.59	1690.89	0.4510	4.599
